pH,Digestates,Feedstock,DM,OM,TOC,TOC_TN,TN,NH4_N,NH4_TN
8.4,4,1,174,655,363.9,9.1,40,20,50
8,4,1,166.9,633,351.6,9.6,36.5,19.7,54
8.7,4,1,148.4,724,402.2,10,40.4,20,49.5
8.5,5,1,146,582,323.3,5.3,60.6,34.7,57.3
8.1,5,1,144.1,597,331.6,5.2,63.4,39.5,62.3
8.4,5,1,141,591,328.3,5.4,60.7,36.4,60
8.2,5,1,134,604,335.5,5.4,62,36,58.1
7.8,5,3,133,487,270.5,6.5,41.4,20.3,49
7.9,5,1,129,796,442.2,10.3,43,30.4,70.7
8,5,1,123.9,587,326.1,5.6,58.2,34,58.4
7.7,5,3,123,536,297.7,7,42.5,21.5,50.6
8.5,4,1,120,715,397.2,5.5,72.5,35.5,49
7.9,6,2,117,568.4,315.7,6.4,49.2,8.4,17.1
7.7,4,2,116,379,210.5,4.2,49.7,27.3,54.9
8.2,5,1,113.7,662,367.7,5.6,66,37.6,57
7.6,4,1,112,843,468.3,9,52.2,21.2,40.6
7.7,5,3,111,517,287.2,6.5,44.4,26,58.6
7.7,5,3,111,543,301.6,6.7,45.1,22,48.8
7.4,4,1,111,829,460.5,8.6,53.3,14.9,28
7.3,4,1,110,836,464.4,12.3,37.8,14,37
7.6,4,2,109,511,283.9,5.1,56.1,38.2,68.1
8.2,4,1,109,647,359.4,7.3,49.3,30.6,62.1
8,4,1,108,822,456.6,10.4,44.1,19.8,44.9
7.7,4,1,108,826,458.8,8.6,53.1,22.2,41.8
8.2,4,1,106,749,416.1,5.5,76.2,38.8,50.9
7.8,4,1,106,837,465,11.3,41.1,15.8,38.4
7.9,4,1,106,825,458.3,8.4,54.4,15.6,28.7
8,4,1,106,812,451.1,7.3,62.1,11.7,18.8
8.6,4,1,105,824,457.7,10.1,45.1,19.5,43.2
7.8,4,2,104,362,201.1,3.6,55.9,36,64.4
8,4,1,104,784,435.5,9.6,45.3,14.9,32.9
8.4,6,2,104,492.3,273.5,5,55.1,17.9,32.5
8,4,1,104,823,457.2,8.5,53.6,10.5,19.6
7.9,4,1,104,824,457.7,9.1,50.1,8.7,17.4
8,4,1,104,830,461.1,8.7,53.2,6.9,13
8,4,1,103,805,447.2,8.6,52.3,20.9,40
7.9,4,1,103,826,458.8,7.9,57.9,22.1,38.2
7.9,4,1,103,816,453.3,9.3,48.9,15,30.7
8.3,4,1,102,829,460.5,10.6,43.3,21.6,49.9
7.9,4,1,102,817,453.8,8.2,55.1,13.6,24.7
7.9,4,1,101,818,454.4,8.1,56.4,28.5,50.5
7.9,4,1,101,830,461.1,7.9,58.1,26.3,45.3
8.2,4,1,101,804,446.6,8.9,50,21.9,43.8
8.2,5,1,101,803,446.1,5.7,78.6,34.2,43.5
7.7,4,1,101,784,435.5,8.6,50.6,19,37.5
7.8,4,1,101,775,430.5,8.8,49,14.3,29.2
7.6,4,1,100,818,454.4,8,57,25.5,44.7
8.5,4,1,100,713,396.1,6,66,28,42.4
7.9,4,1,100,830,461.1,9.1,50.5,17.4,34.5
8.3,4,1,100,794,441.1,6.1,71.9,24.1,33.5
7.9,4,1,99.8,831,461.6,9.3,49.9,17.3,34.7
8.6,4,2,99.3,517.6,287.5,4.3,66.4,26.2,39.5
8,4,1,99,822,456.6,9.6,47.8,22.7,47.5
8.2,4,1,99,791,439.4,8.6,50.8,22.7,44.7
8.1,4,1,99,816,453.3,9.3,48.5,21.1,43.5
8,4,1,99,794,441.1,9.8,45.2,16.5,36.5
7.9,4,1,98.8,808,448.8,7.7,58.2,29.5,50.7
